"Index","Mersenne (2^n)-1","Collatz","Time","Time in s","Longest even run"
1,2,7,"0m1.81e-07s",1.81e-07,4
2,3,16,"0m1.9e-07s",1.9e-07,4
3,5,106,"0m5.81e-07s",5.81e-07,5
4,7,46,"0m2.8e-07s",2.8e-07,4
5,13,158,"0m7.31e-07s",7.31e-07,5
6,17,224,"0m8.81e-07s",8.81e-07,7
7,19,177,"0m6.61e-07s",6.61e-07,6
8,31,450,"0m1.644e-06s",1.644e-06,8
9,61,860,"0m3.878e-06s",3.878e-06,8
10,89,1454,"0m6.271e-06s",6.271e-06,9
11,107,1441,"0m5.831e-06s",5.831e-06,11
12,127,1660,"0m1.552e-05s",1.552e-05,15
13,521,6769,"0m4.9524e-05s",4.9524e-05,12
14,607,8494,"0m6.7618e-05s",6.7618e-05,15
15,1279,17094,"0m0.000231548s",0.000231548,17
16,2203,29821,"0m0.000645232s",0.000645232,17
17,2281,30734,"0m0.000713671s",0.000713671,12
18,3217,43478,"0m0.00130461s",0.00130461,16
19,4253,55906,"0m0.00210791s",0.00210791,13
20,4423,60716,"0m0.00245594s",0.00245594,15
21,9689,129608,"0m0.0108671s",0.0108671,16
22,9941,134345,"0m0.0115357s",0.0115357,15
23,11213,153505,"0m0.0148905s",0.0148905,16
24,19937,265860,"0m0.0450196s",0.0450196,15
25,21701,293161,"0m0.0542969s",0.0542969,17
26,23209,312164,"0m0.0613035s",0.0613035,18
27,44497,598067,"0m0.222728s",0.222728,18
28,86243,1158876,"0m0.827949s",0.827949,21
29,110503,1482529,"0m1.3656s",1.3656,17
30,132049,1771117,"0m1.94512s",1.94512,21
31,216091,2906179,"0m5.29952s",5.29952,21
32,756839,10197081,"1m4.96826s",64.9683,23
33,859433,11568589,"1m23.6018s",83.6018,23
34,1257787,16927967,"2m58.0423s",178.042,21
35,1398269,18807193,"3m39.7742s",219.774,24
36,2976221,40055567,"16m33.2271s",993.227,25
37,3021377,40663017,"17m2.14998s",1022.15,27
48,57885161,779044992,"6039m41.283s",362381.283
49,74207281,998401306,"16792m45.767s",1.00757e+06
50,77232917,1039248803,"17797m18.9197s",1.06784e+06
51,82589933,1111148968,"15914m31.1407s",954871
